name,source_url,folder,image_file,ingredient_count,instruction_count,rating_value,rating_count,image_error
Chicken Katsu Bowls,https://simply-delicious-food.com/easy-chicken-katsu-bowls-curry-mayo/?utm_source=Pinterest&utm_medium=organic#recipe,scraped_recipes\chicken-katsu-bowls-b2b85969,scraped_recipes\chicken-katsu-bowls-b2b85969\image.webp,16,8,4.84,6,
One Pan Chicken and Potatoes for Effortless Cooking Fun,https://www.recipesbycamille.com/one-pan-chicken-and-potatoes/,scraped_recipes\one-pan-chicken-and-potatoes-for-effortless-cooking-fun-baf8b1b2,scraped_recipes\one-pan-chicken-and-potatoes-for-effortless-cooking-fun-baf8b1b2\image.webp,12,8,,,
Crispy Potato Salad,https://gimmedelicious.com/crispy-potato-salad/#wprm-recipe-container-30205,scraped_recipes\crispy-potato-salad-3f2404dc,scraped_recipes\crispy-potato-salad-3f2404dc\image.jpg,11,7,5,2,
"Easy Thai Red Curry Chicken {One Pot, 30-Minute Meal}",https://thatsdeelicious.com/easy-thai-red-curry-chicken/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\easy-thai-red-curry-chicken-one-pot-30-minute-meal-981d120f,scraped_recipes\easy-thai-red-curry-chicken-one-pot-30-minute-meal-981d120f\image.jpg,15,7,4.79,137,
Ground Beef Orzo with Tomato Cream Sauce,https://www.saltandlavender.com/ground-beef-orzo/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\ground-beef-orzo-with-tomato-cream-sauce-75061824,scraped_recipes\ground-beef-orzo-with-tomato-cream-sauce-75061824\image.jpg,13,5,4.93,222,
Garlic Sesame Noodles,https://eatwithclarity.com/garlic-sesame-noodles/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\garlic-sesame-noodles-d98e31fb,scraped_recipes\garlic-sesame-noodles-d98e31fb\image.jpg,11,9,5,130,
"One-Pan ""Marry Me"" Chicken Orzo",https://kalejunkie.com/one-pan-marry-me-chicken-orzo/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\one-pan-marry-me-chicken-orzo-3c6b6bb7,scraped_recipes\one-pan-marry-me-chicken-orzo-3c6b6bb7\image.webp,13,9,4.77,138,
Creamy Chicken Pesto Pasta,https://www.yellowblissroad.com/creamy-chicken-pesto-pasta/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\creamy-chicken-pesto-pasta-f027e549,scraped_recipes\creamy-chicken-pesto-pasta-f027e549\image.jpg,15,6,4.66,212,
Famous La Scala Chopped Salad Recipe,https://whatmollymade.com/la-scala-chopped-salad/?utm_source=Pinterest&utm_medium=organic#wprm-recipe-container-44272,scraped_recipes\famous-la-scala-chopped-salad-recipe-60ddf36d,scraped_recipes\famous-la-scala-chopped-salad-recipe-60ddf36d\image.jpg,11,3,4.89,61,
Peach Caprese Salad,https://www.platingsandpairings.com/peach-caprese-salad/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\peach-caprese-salad-d9840b07,scraped_recipes\peach-caprese-salad-d9840b07\image.jpg,9,4,5,4,
Brussel Sprouts with Balsamic Reduction,https://www.platingsandpairings.com/roasted-brussels-sprouts-balsamic/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\brussel-sprouts-with-balsamic-reduction-9491d770,scraped_recipes\brussel-sprouts-with-balsamic-reduction-9491d770\image.jpg,5,4,5,27,
Creamy Green Goddess Broccoli Soup,https://upbeetanisha.com/creamy-green-goddess-broccoli-soup/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\creamy-green-goddess-broccoli-soup-f21cf992,scraped_recipes\creamy-green-goddess-broccoli-soup-f21cf992\image.jpg,14,3,,,
Vegan Chickpea Cauliflower Curry,https://theyummybowl.com/chickpea-and-cauliflower-coconut-curry-vegan/?pp=1&utm_source=Pinterest&utm_medium=organic,scraped_recipes\vegan-chickpea-cauliflower-curry-c153662d,scraped_recipes\vegan-chickpea-cauliflower-curry-c153662d\image.jpg,17,7,5,20,
Mediterranean Lentil Salad,https://wholeandheavenlyoven.com/2023/01/12/mediterranean-lentil-salad/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\mediterranean-lentil-salad-3824ecc0,scraped_recipes\mediterranean-lentil-salad-3824ecc0\image.webp,17,7,4.38,8,
Mediterranean Rice Salad,https://hungryhealthyhappy.com/mediterranean-rice-salad/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\mediterranean-rice-salad-bbbc9ed7,scraped_recipes\mediterranean-rice-salad-bbbc9ed7\image.jpg,19,6,5,13,
Vegan Butter Bean Curry,https://vegancocotte.com/vegan-butter-bean-curry/?utm_source=Pinterest&utm_medium=organic&utm_campaign=grow-social-pro,scraped_recipes\vegan-butter-bean-curry-a2484ed5,scraped_recipes\vegan-butter-bean-curry-a2484ed5\image.jpg,14,4,4.5,31,
Roasted Butternut Squash Soup,https://www.aheadofthyme.com/2015/12/roasted-butternut-squash-soup/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\roasted-butternut-squash-soup-e0050f4e,scraped_recipes\roasted-butternut-squash-soup-e0050f4e\image.jpg,12,8,4.9,74,
White Bean Sun-Dried Tomato Gnocchi,https://lifecurrentsblog.com/white-bean-sun-dried-tomato-gnocchi/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\white-bean-sun-dried-tomato-gnocchi-3710b669,scraped_recipes\white-bean-sun-dried-tomato-gnocchi-3710b669\image.jpg,10,3,5,27,
California Sushi Bowls,https://simplyhomecooked.com/california-roll-sushi-bowls/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\california-sushi-bowls-68fb2c0f,scraped_recipes\california-sushi-bowls-68fb2c0f\image.jpg,12,6,5,31,
Creamy Tuscan Orzo,https://shortgirltallorder.com/vegan-tuscan-orzo?utm_source=Pinterest&utm_medium=organic,scraped_recipes\creamy-tuscan-orzo-41961de5,scraped_recipes\creamy-tuscan-orzo-41961de5\image.webp,15,8,4.85,26,
Healthy Veggie Pasta Sauce (Vegan),https://goodfoodbaddie.com/healthy-veggie-pasta-sauce-vegan/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\healthy-veggie-pasta-sauce-vegan-41ba03ad,scraped_recipes\healthy-veggie-pasta-sauce-vegan-41ba03ad\image.jpg,20,10,5,7,
Coconut Chickpea Curry,https://realandvibrant.com/coconut-chickpea-curry/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\coconut-chickpea-curry-3d49bd8c,scraped_recipes\coconut-chickpea-curry-3d49bd8c\image.jpg,16,5,4.95,143,
Creamy Roasted Butternut Squash Orzo,https://vikalinka.com/orzo-pasta-roasted-butternut-squash/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\creamy-roasted-butternut-squash-orzo-381175d6,scraped_recipes\creamy-roasted-butternut-squash-orzo-381175d6\image.jpg,10,3,5,24,
Pumpkin Risotto Recipe,https://www.platingsandpairings.com/pumpkin-risotto-with-goat-cheese-dried-cranberries/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\pumpkin-risotto-recipe-85543fb6,scraped_recipes\pumpkin-risotto-recipe-85543fb6\image.jpg,14,4,4.97,120,
How To Make An Authentic Cacio e Pepe Like A Roman,https://pinabresciani.com/authentic-cacio-e-pepe-recipe/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\how-to-make-an-authentic-cacio-e-pepe-like-a-roman-06227e8a,scraped_recipes\how-to-make-an-authentic-cacio-e-pepe-like-a-roman-06227e8a\image.webp,4,11,4.72,98,
Chicken Yakisoba,https://www.cookingclassy.com/chicken-yakisoba/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\chicken-yakisoba-495eaa36,scraped_recipes\chicken-yakisoba-495eaa36\image.jpg,19,7,4.87,15,
Shakshuka Recipe (Easy & Traditional),https://downshiftology.com/recipes/shakshuka/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\shakshuka-recipe-easy-traditional-a19510df,scraped_recipes\shakshuka-recipe-easy-traditional-a19510df\image.webp,12,5,4.94,530,
📋Creamy Butternut Squash Mac and Cheese,https://www.currytrail.in/butternut-squash-mac-and-cheese/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\creamy-butternut-squash-mac-and-cheese-4cc019c2,scraped_recipes\creamy-butternut-squash-mac-and-cheese-4cc019c2\image.jpg,11,24,4.83,23,
Classic Lasagna Recipe,https://iwashyoudry.com/classic-lasagna-recipe/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\classic-lasagna-recipe-111676cc,scraped_recipes\classic-lasagna-recipe-111676cc\image.webp,12,5,4.93,14,
Bibimbap,https://www.loveandlemons.com/bibimbap-recipe/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\bibimbap-ea26cf88,scraped_recipes\bibimbap-ea26cf88\image.jpg,15,4,5,52,
Sweet Potato & Black Bean Quesadilla,https://realhousemoms.com/sweet-potato-black-bean-quesadilla/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\sweet-potato-black-bean-quesadilla-e70f5438,scraped_recipes\sweet-potato-black-bean-quesadilla-e70f5438\image.jpg,10,11,4.73,11,
Tomato Pie Recipe (Southern Style),https://houseofnasheats.com/southern-tomato-pie/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\tomato-pie-recipe-southern-style-04588239,scraped_recipes\tomato-pie-recipe-southern-style-04588239\image.jpg,10,5,4.83,207,
Vegetarian Quesadillas,https://erhardtseat.com/vegetarian-quesadillas/,scraped_recipes\vegetarian-quesadillas-62af2e4a,scraped_recipes\vegetarian-quesadillas-62af2e4a\image.webp,16,6,4.93,67,
Mozzarella Sandwich Recipe,https://feelgoodfoodie.net/recipe/grilled-mozzarella-sandwich-walnut-pesto/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\mozzarella-sandwich-recipe-54306305,scraped_recipes\mozzarella-sandwich-recipe-54306305\image.jpg,10,4,5,929,
Black Bean and Cheese Quesadillas,https://www.thediaryofarealhousewife.com/black-bean-and-cheese-quesadillas/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\black-bean-and-cheese-quesadillas-19f1cee4,scraped_recipes\black-bean-and-cheese-quesadillas-19f1cee4\image.jpg,6,3,5,8,
Harvest Cobb Salad with a Honey Apple Cider Vinaigrette,https://therecipecritic.com/harvest-cobb-chicken-salad-honey-apple-cider-vinaigrette/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\harvest-cobb-salad-with-a-honey-apple-cider-vinaigrette-dcb7b3b1,scraped_recipes\harvest-cobb-salad-with-a-honey-apple-cider-vinaigrette-dcb7b3b1\image.jpg,16,6,,,
Chipotle BBQ Chicken Salad with Tomatillo Avocado Ranch,https://carlsbadcravings.com/chipotle-bbq-chicken-salad-with-tomatillo-avocado-rach-dressing-recipe/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\chipotle-bbq-chicken-salad-with-tomatillo-avocado-ranch-2225bd34,scraped_recipes\chipotle-bbq-chicken-salad-with-tomatillo-avocado-ranch-2225bd34\image.jpg,15,3,5,1,
Ham and Cheese Breakfast Quesadilla,https://pitchforkfoodie.com/ham-and-cheese-breakfast-quesadillas/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\ham-and-cheese-breakfast-quesadilla-c6ea0ba8,scraped_recipes\ham-and-cheese-breakfast-quesadilla-c6ea0ba8\image.jpg,5,6,4.9,19,
Italian Pesto Sliders,https://www.simplejoy.com/italian-pesto-sliders/,scraped_recipes\italian-pesto-sliders-0577b7ec,scraped_recipes\italian-pesto-sliders-0577b7ec\image.jpg,7,5,5,15,
One Pan Chicken Fried Rice Recipe,https://nerdymamma.com/one-pan-chicken-fried-rice-recipe/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\one-pan-chicken-fried-rice-recipe-86b43d61,scraped_recipes\one-pan-chicken-fried-rice-recipe-86b43d61\image.jpg,10,8,,,
Honey Mustard Chicken & Potatoes (ONE PAN),https://cafedelites.com/honey-mustard-chicken-potatoes/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\honey-mustard-chicken-potatoes-one-pan-f4eb79f1,scraped_recipes\honey-mustard-chicken-potatoes-one-pan-f4eb79f1\image.jpg,13,5,4.62,113,
One Pan Italian Sausage and Veggies,https://www.chelseasmessyapron.com/one-pan-healthy-italian-sausage-veggies/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\one-pan-italian-sausage-and-veggies-b19a5e29,scraped_recipes\one-pan-italian-sausage-and-veggies-b19a5e29\image.webp,19,7,4.92,128,
Homemade Crockpot Chicken Noodle Soup,https://www.thechunkychef.com/homemade-crockpot-chicken-noodle-soup/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\homemade-crockpot-chicken-noodle-soup-c317a017,scraped_recipes\homemade-crockpot-chicken-noodle-soup-c317a017\image.jpg,15,5,4.8,103,
3 Bean Vegetarian Chili,https://theschmidtywife.com/slow-cooker-vegetarian-chili-recipe/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\3-bean-vegetarian-chili-ed7ba798,scraped_recipes\3-bean-vegetarian-chili-ed7ba798\image.webp,12,3,4.5,267,
Crockpot Tortellini & Sausage Soup (Creamy & Delish!),https://www.instrupix.com/slow-cooker-creamy-sausage-tortellini-soup/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\crockpot-tortellini-sausage-soup-creamy-delish-c1d0eb78,scraped_recipes\crockpot-tortellini-sausage-soup-creamy-delish-c1d0eb78\image.jpg,6,3,,,
Slow Cooker Chicken & Dumplings with Canned Biscuits,https://www.themagicalslowcooker.com/slow-cooker-chicken-and-dumplings/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\slow-cooker-chicken-dumplings-with-canned-biscuits-8216c45c,scraped_recipes\slow-cooker-chicken-dumplings-with-canned-biscuits-8216c45c\image.jpg,13,8,4.38,40,
Slow Cooker Honey Garlic Chicken,https://tipbuzz.com/honey-garlic-chicken/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\slow-cooker-honey-garlic-chicken-98e22f2f,scraped_recipes\slow-cooker-honey-garlic-chicken-98e22f2f\image.jpg,14,8,3.93,228,
Creamy Crockpot White Chicken Chili,https://www.thechunkychef.com/slow-cooker-creamy-white-chicken-chili/?utm_source=Pinterest&utm_medium=organic,scraped_recipes\creamy-crockpot-white-chicken-chili-4433eaaf,scraped_recipes\creamy-crockpot-white-chicken-chili-4433eaaf\image.jpg,22,7,4.79,1577,
