title,source_url,markdown_file,image_file,category,ingredient_count,instruction_count,image_error
Buttermilk Pancakes,https://spicysouthernkitchen.com/buttermilk-pancakes/,recipes\buttermilk-pancakes-2.md,assets\buttermilk-pancakes-2.jpg,Breakfast and Smoothie Bowls,9,7,
Buttermilk Pancakes,https://spicysouthernkitchen.com/buttermilk-pancakes/,recipes\buttermilk-pancakes-3.md,assets\buttermilk-pancakes-3.jpg,Breakfast and Smoothie Bowls,9,7,
Buttermilk Pancakes,https://spicysouthernkitchen.com/buttermilk-pancakes/,recipes\buttermilk-pancakes-4.md,assets\buttermilk-pancakes-4.jpg,Breakfast and Smoothie Bowls,9,7,
Chicken Shawarma (Middle Eastern),https://www.recipetineats.com/chicken-sharwama-middle-eastern/?utm_source=chatgpt.com,recipes\chicken-shawarma-middle-eastern.md,assets\chicken-shawarma-middle-eastern.webp,Salads,18,8,
Middle Eastern Spiced Chickpea Salad,https://www.recipetineats.com/middle-eastern-spiced-chickpea-salad/,recipes\middle-eastern-spiced-chickpea-salad.md,assets\middle-eastern-spiced-chickpea-salad.webp,Salads,18,6,
Chicken Shawarma Recipe,https://feelgoodfoodie.net/recipe/chicken-shawarma/?utm_source=chatgpt.com#wprm-recipe-container-18848,recipes\chicken-shawarma-recipe.md,assets\chicken-shawarma-recipe.jpg,"Sandwiches, Quesadillas, and Sliders",13,3,
Gochujang Salmon Bowls,https://allthehealthythings.com/gochujang-salmon-bowls/?utm_source=chatgpt.com,recipes\gochujang-salmon-bowls.md,assets\gochujang-salmon-bowls.jpg,Uncategorized,14,4,
Egg Roll in a Bowl,https://allthehealthythings.com/egg-roll-in-a-bowl/,recipes\egg-roll-in-a-bowl.md,assets\egg-roll-in-a-bowl.jpg,Salads,17,5,
Thai Basil Chicken | Pad Horapa Gai | ผัดโหระพาไก่,https://rachelcooksthai.com/thai-basil-chicken/?utm_source=chatgpt.com,recipes\thai-basil-chicken-pad-horapa-gai.md,assets\thai-basil-chicken-pad-horapa-gai.jpg,"Soups, Stews, and Chili",9,5,
Sheet Pan Harissa Chicken with Chickpeas and Sweet Potatoes,https://www.halfbakedharvest.com/sheet-pan-harissa-chicken-with-chickpeas-and-sweet-potatoes/?utm_source=chatgpt.com,recipes\sheet-pan-harissa-chicken-with-chickpeas-and-sweet-potatoes.md,assets\sheet-pan-harissa-chicken-with-chickpeas-and-sweet-potatoes.jpg,Chicken and Meat Mains,12,1,
